MISSION,SPECIES_CODE,OBSERVATION_GROUP,LV1_OBSERVATION,PROCESS_ORDER,ACTIVE
TEL2021002,19,standard,Weight,2,Y
TEL2021002,23,standard,Length,1,Y
TEL2021002,23,standard,Sex,2,Y
TEL2021002,23,standard,Weight,3,Y
TEL2021002,30,Genetic Sampling,Fin Clip,1,Y
TEL2021002,30,Genetic Sampling,Sample Vial Number,2,Y
TEL2021002,30,standard,Age Material Type,5,Y
TEL2021002,30,standard,Fish Number,6,Y
TEL2021002,30,standard,Length,1,Y
TEL2021002,30,standard,Maturity,4,Y
TEL2021002,30,standard,Sex,2,Y
TEL2021002,30,standard,Weight,3,Y
TEL2021002,30,Stomach Sampling,Length,1,Y
TEL2021002,30,Stomach Sampling,Sex,2,Y
TEL2021002,30,Stomach Sampling,Stomach Fullness,4,Y
TEL2021002,30,Stomach Sampling,Weight,3,Y
TEL2021002,31,standard,Length,1,Y
TEL2021002,31,standard,Sex,2,Y
TEL2021002,31,standard,Weight,3,Y
TEL2021002,40,standard,Length,1,Y
TEL2021002,40,standard,Sex,2,Y
TEL2021002,40,standard,Weight,3,Y
TEL2021002,41,standard,Length,1,Y
TEL2021002,41,standard,Sex,2,Y
TEL2021002,41,standard,Weight,3,Y
TEL2021002,42,standard,Age Material Type,5,Y
TEL2021002,42,standard,Fish Number,6,Y
TEL2021002,42,standard,Length,1,Y
TEL2021002,42,standard,Sex,2,Y
TEL2021002,42,standard,Weight,3,Y
TEL2021002,43,standard,Length,1,Y
TEL2021002,43,standard,Sex,2,Y
TEL2021002,43,standard,Weight,3,Y
TEL2021002,44,standard,Length,1,Y
TEL2021002,44,standard,Weight,2,Y
TEL2021002,49,standard,Length,1,Y
TEL2021002,49,standard,Sex,2,Y
TEL2021002,49,standard,Weight,3,Y
TEL2021002,50,standard,Length,1,Y
TEL2021002,50,standard,Weight,2,Y
TEL2021002,51,standard,Length,1,Y
TEL2021002,51,standard,Weight,2,Y
TEL2021002,52,standard,Length,1,Y
TEL2021002,52,standard,Weight,2,Y
TEL2021002,60,All Small Fish (<125),Length,1,Y
TEL2021002,60,All Small Fish (<125),Weight,2,Y
TEL2021002,60,Eastern Georges Bank (125-239),Age Material Type,3,Y
TEL2021002,60,Eastern Georges Bank (125-239),Comments,5,Y
TEL2021002,60,Eastern Georges Bank (125-239),Fish Number,4,Y
TEL2021002,60,Eastern Georges Bank (125-239),Length,1,Y
TEL2021002,60,Eastern Georges Bank (125-239),Weight,2,Y
TEL2021002,60,Eastern Georges Bank (240+),Age Material Type,3,Y
TEL2021002,60,Eastern Georges Bank (240+),Comments,5,Y
TEL2021002,60,Eastern Georges Bank (240+),Fish Number,4,Y
TEL2021002,60,Eastern Georges Bank (240+),Length,1,Y
TEL2021002,60,Eastern Georges Bank (240+),Weight,2,Y
TEL2021002,60,standard,Length,1,Y
TEL2021002,60,standard,Weight,2,Y
TEL2021002,60,Western Georges Bank (125-239),Age Material Type,3,Y
TEL2021002,60,Western Georges Bank (125-239),Comments,5,Y
TEL2021002,60,Western Georges Bank (125-239),Fish Number,4,Y
TEL2021002,60,Western Georges Bank (125-239),Length,1,Y
TEL2021002,60,Western Georges Bank (125-239),Weight,2,Y
TEL2021002,60,Western Georges Bank (240+),Age Material Type,3,Y
TEL2021002,60,Western Georges Bank (240+),Comments,5,Y
TEL2021002,60,Western Georges Bank (240+),Fish Number,4,Y
TEL2021002,60,Western Georges Bank (240+),Length,1,Y
TEL2021002,60,Western Georges Bank (240+),Weight,2,Y
TEL2021002,61,standard,Length,1,Y
TEL2021002,61,standard,Weight,2,Y
TEL2021002,62,standard,Length,1,Y
TEL2021002,62,standard,Weight,2,Y
TEL2021002,64,standard,Length,1,Y
TEL2021002,64,standard,Weight,2,Y
TEL2021002,70,standard,Length,1,Y
TEL2021002,70,standard,Weight,2,Y
TEL2021002,112,standard,Length,1,Y
TEL2021002,112,standard,Weight,2,Y
TEL2021002,114,standard,Length,1,Y
TEL2021002,114,standard,Weight,2,Y
TEL2021002,122,standard,Length,1,Y
TEL2021002,122,standard,Weight,2,Y
TEL2021002,123,standard,Length,1,Y
TEL2021002,123,standard,Weight,2,Y
TEL2021002,141,standard,Length,1,Y
TEL2021002,141,standard,Sex,2,Y
TEL2021002,141,standard,Weight,3,Y
TEL2021002,142,standard,Length,1,Y
TEL2021002,142,standard,Sex,2,Y
TEL2021002,142,standard,Weight,3,Y
TEL2021002,143,standard,Length,1,Y
TEL2021002,143,standard,Sex,2,Y
TEL2021002,143,standard,Weight,3,Y
TEL2021002,150,standard,Length,1,Y
TEL2021002,150,standard,Weight,2,Y
TEL2021002,156,standard,Length,1,Y
TEL2021002,156,standard,Weight,2,Y
TEL2021002,159,standard,Length,1,Y
